                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     93,               0.031279,               0.017766,               0.030581,              0.0015274,                0.85189,                0.92103,                0.92903,                0.71843,                0.85189,                0.92103,                0.92903,                0.64964,               0.025513,               0.012407,               0.015174,              0.0020435,                0.00586,                0.00586,                0.00586
                     94,               0.030662,                0.01472,                 0.0316,              0.0015586,                  0.853,                 0.8239,                0.91739,                0.74327,                  0.853,                 0.8239,                0.91739,                0.65731,                0.02651,               0.012423,               0.015717,              0.0020265,               0.005815,               0.005815,               0.005815
                     95,               0.031107,               0.015567,               0.030418,              0.0016978,                0.89881,                0.90723,                0.95862,                0.74126,                0.89881,                0.90723,                0.95862,                 0.7106,               0.025273,               0.012652,               0.015239,              0.0020857,                0.00577,                0.00577,                0.00577
                     96,               0.029742,                0.01487,               0.031446,              0.0014585,                0.85857,                0.95772,                 0.9565,                0.72558,                0.85857,                0.95772,                 0.9565,                0.73025,               0.027459,               0.012645,               0.015791,              0.0020333,               0.005725,               0.005725,               0.005725
                     97,               0.032223,               0.014085,               0.034667,              0.0014945,                 0.8815,                0.90723,                0.97069,                0.78027,                 0.8815,                0.90723,                0.97069,                0.73062,               0.021613,                0.01255,               0.015009,              0.0019743,                0.00568,                0.00568,                0.00568
                     98,               0.026604,               0.013072,               0.028204,              0.0013744,                0.94832,                 0.8836,                0.95621,                0.72858,                0.94832,                 0.8836,                0.95621,                0.69797,               0.032964,               0.012545,               0.016172,              0.0019091,               0.005635,               0.005635,               0.005635
                     99,               0.034595,               0.014592,               0.031329,              0.0014287,                0.85004,                 0.8361,                0.93495,                 0.7472,                0.85004,                 0.8361,                0.93495,                0.69622,               0.028625,               0.012602,                0.01531,              0.0018666,                0.00559,                0.00559,                0.00559
                    100,               0.031091,               0.015079,                0.03306,              0.0013336,                0.84549,                0.90723,                 0.9365,                0.75568,                0.84549,                0.90723,                 0.9365,                0.69738,               0.024798,               0.012481,               0.014972,              0.0018513,               0.005545,               0.005545,               0.005545
                    101,               0.027834,               0.014756,               0.030196,              0.0013893,                0.88773,                0.89089,                0.93027,                0.67449,                0.88773,                0.89089,                0.93027,                0.65412,               0.030487,               0.012512,               0.015792,              0.0018843,                 0.0055,                 0.0055,                 0.0055
                    102,               0.031537,               0.015358,               0.032963,              0.0012989,                0.72477,                0.74057,                0.84559,                0.66007,                0.72477,                0.74057,                0.84559,                0.62697,               0.020326,               0.012393,               0.013883,              0.0019345,               0.005455,               0.005455,               0.005455
                    103,               0.026872,                0.01373,               0.029758,              0.0012862,                0.64891,                0.74057,                0.76484,                0.61045,                0.64891,                0.74057,                0.76484,                0.58134,                0.02268,               0.012437,               0.014502,               0.001962,                0.00541,                0.00541,                0.00541
                    104,               0.030297,               0.014418,                0.03102,              0.0013236,                0.72976,                0.74158,                0.86603,                0.66205,                0.72976,                0.74158,                0.86603,                0.60221,               0.021966,                0.01256,               0.014464,              0.0019319,               0.005365,               0.005365,               0.005365
